salt,salt_con,substrate1,con1,substrate2,con2,substrate3,con3,substrate4,con4,substrate5,con5,temperature,ionic
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,-40,3.498311
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,20,3.848805
F[As-](F)(F)(F)(F)F.[Li+],21.7699,O=C1OCCO1,13.60691,CC1COC(=O)O1,10.66222,CC1CCCO1,53.96097,O,0,O,0,-10,2.591065
F[As-](F)(F)(F)(F)F.[Li+],7.400877,O=C1OCCO1,41.63214,CC1COC(=O)O1,32.62246,CC1CCCO1,18.34452,O,0,O,0,40,4.064458
F[As-](F)(F)(F)(F)F.[Li+],6.824504,O=C1OCCO1,12.79662,CC1COC(=O)O1,10.02729,CC1CCCO1,16.91587,ClCCl,53.43572,O,0,-60,3.212188
F[As-](F)(F)(F)(F)F.[Li+],12.21449,O=C1OCCO1,15.26893,CC1COC(=O)O1,11.96455,CC1CCCO1,60.55203,O,0,O,0,-20,3.541579
F[As-](F)(F)(F)(F)F.[Li+],8.350577,O=C1OCCO1,21.92143,CC1COC(=O)O1,17.17738,CC1CCCO1,28.97796,Cc1ccccc1,23.57266,O,0,20,3.897627
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,80,3.518514
F[As-](F)(F)(F)(F)F.[Li+],7.625216,O=C1OCCO1,8.578822,CC1COC(=O)O1,6.722266,CC1CCCO1,11.34035,C1CCOC1,65.73334,O,0,-50,3.58995
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,80,4.391112
F[As-](F)(F)(F)(F)F.[Li+],7.220045,O=C1OCCO1,18.95362,CC1COC(=O)O1,14.85184,CC1CCCO1,25.05482,ClCCl,33.91968,O,0,20,4.049993
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,60,3.448706
F[As-](F)(F)(F)(F)F.[Li+],6.470051,O=C1OCCO1,7.279193,CC1COC(=O)O1,5.703891,CC1CCCO1,9.622373,ClCCl,70.92449,O,0,-50,3.330414
F[P-](F)(F)(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,60,4.146128
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,-10,3.631444
F[As-](F)(F)(F)(F)F.[Li+],7.625216,O=C1OCCO1,8.578822,CC1COC(=O)O1,6.722266,CC1CCCO1,11.34035,C1CCOC1,65.73334,O,0,-10,4.018284
F[As-](F)(F)(F)(F)F.[Li+],8.350577,O=C1OCCO1,21.92143,CC1COC(=O)O1,17.17738,CC1CCCO1,28.97796,Cc1ccccc1,23.57266,O,0,-20,3.471292
O=S(=O)([O-])C(F)(F)F.[Li+],8.488609,O=C1OCCO1,15.91698,CC1COC(=O)O1,12.47237,CC1CCCO1,63.12204,O,0,O,0,0,3.127105
F[As-](F)(F)(F)(F)F.[Li+],4.43243,O=C1OCCO1,16.62249,CC1COC(=O)O1,13.02519,CC1CCCO1,65.91988,O,0,O,0,40,4.072985
F[As-](F)(F)(F)(F)F.[Li+],10.25531,O=C1OCCO1,19.22973,CC1COC(=O)O1,15.06819,CC1CCCO1,25.4198,COCC(C)OC(C)COC,30.02696,O,0,20,3.993436
F[As-](F)(F)(F)(F)F.[Li+],7.784008,O=C1OCCO1,20.4341,CC1COC(=O)O1,16.01193,CC1CCCO1,27.01187,C1CCOC1,28.75809,O,0,60,4.317436
F[As-](F)(F)(F)(F)F.[Li+],7.625216,O=C1OCCO1,8.578822,CC1COC(=O)O1,6.722266,CC1CCCO1,11.34035,C1CCOC1,65.73334,O,0,-60,3.453318
F[As-](F)(F)(F)(F)F.[Li+],7.907512,O=C1OCCO1,29.65474,CC1COC(=O)O1,23.23711,CC1CCCO1,39.20064,O,0,O,0,0,3.793092
F[As-](F)(F)(F)(F)F.[Li+],15.64885,O=C1OCCO1,14.67157,CC1COC(=O)O1,11.49647,CC1CCCO1,58.1831,O,0,O,0,-30,2.959041
