Solvent 1,Solvent 2,Weights,Molar Mass,Log Conductivity (log S/cm),salt,temperature
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.43403531311307486, 0.43403531311307486]","[194.12, 1552.53]",-3.369507886,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3307075156590009, 0.3307075156590009]","[194.12, 1552.53]",-3.354581736,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3631213914811722, 0.3631213914811722]","[194.12, 1552.53]",-3.325571458,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3504001569792703, 0.3504001569792703]","[194.12, 1552.53]",-3.389802442,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.34413457038240236, 0.34413457038240236]","[194.12, 1552.53]",-2.984681403,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.37822913120768564, 0.37822913120768564]","[194.12, 1552.53]",-3.205977121,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.32342781737971715, 0.32342781737971715]","[194.12, 1552.53]",-3.585020567,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4212512848164187, 0.4212512848164187]","[194.12, 1552.53]",-2.957671148,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4370629370629371, 0.4370629370629371]","[194.12, 1552.53]",-3.770211428,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.41876748354243787, 0.41876748354243787]","[194.12, 1552.53]",-4.200567445,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.41945604939514436, 0.41945604939514436]","[194.12, 1552.53]",-3.426092882,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3605084611335828, 0.3605084611335828]","[194.12, 1552.53]",-2.90149396,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.46043483465785084, 0.46043483465785084]","[194.12, 1552.53]",-3.722835855,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.40748467857608556, 0.40748467857608556]","[194.12, 1552.53]",-3.319959762,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.3993610223642173, 0.3993610223642173]","[194.12, 1552.53]",-3.149835685,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4464285714285714, 0.4464285714285714]","[194.12, 1552.53]",-3.036456226,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.40983942491331893, 0.40983942491331893]","[194.12, 1552.53]",-3.148455458,F[P-](F)(F)(F)(F)F.[Li+],20
C(COCCOCCOCCO)O,CC(C)C[Si](O[Si](CC(C)C)(O1)O[Si]2(CCCOC(C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)[Au])=O)O3)(O[Si](O4)(O[Si]1(CC(C)C)O[Si]5(CCC)O2)CC(C)C)O[Si]3(CC(C)C)O[Si]4(O5)CC(C)C,"[0.4273504273504274, 0.4273504273504274]","[194.12, 1552.53]",-3.114612606,F[P-](F)(F)(F)(F)F.[Li+],20
